Asset ID,Dự án,Danh mục,Mô tả,Alt text đề xuất,URL trang nguồn,URL file,Kích thước,Tỷ lệ,Định dạng,Watermark,Quyền sử dụng,Chất lượng (0-10),Công năng đề xuất
hong-hac-city-hero-001,Hồng Hạc City,hero,Cổng chào dự án (render),Cổng chào dự án Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/wp-content/uploads/2026/06/cong-chao.webp,chưa xác minh (lazy-load),—,webp,chưa kiểm tra,permission-review-required,—,Homepage hero; Project hero
hong-hac-city-masterplan-001,Hồng Hạc City,masterplan,Phối cảnh tổng thể toàn khu (render),Phối cảnh tổng thể dự án Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/wp-content/uploads/2026/04/tong-the-hong-hac-city-2.webp,chưa xác minh (lazy-load),—,webp,chưa kiểm tra,permission-review-required,—,Project hero; Section background; Open Graph
hong-hac-city-overview-001,Hồng Hạc City,overview,Giới thiệu phân khu Hồng Phát (bản tablet/mobile),Giới thiệu phân khu Hồng Phát — Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/wp-content/uploads/2026/06/gioithieu-pkhp-tbalet-mobile.webp,chưa xác minh,—,webp,chưa kiểm tra,permission-review-required,—,Mobile hero; Gallery
hong-hac-city-location-001,Hồng Hạc City,location,Sơ đồ kết nối vùng (bản mobile),Sơ đồ kết nối vùng của Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/wp-content/uploads/2026/05/ketnoi-vung-mobile.webp,chưa xác minh,—,webp,chưa kiểm tra,permission-review-required,—,Location section
hong-hac-city-amenity-001,Hồng Hạc City,amenities,Công viên trung tâm 17.8ha (render),Công viên trung tâm 17.8 ha tại Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/tien-ich-cong-vien-maze.webp,2560×1439,16:9,webp,chưa kiểm tra,permission-review-required,9,Amenity section; Gallery; Section background
hong-hac-city-amenity-002,Hồng Hạc City,amenities,Canal plaza (render),Quảng trường kênh đào tại Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/B%20-%20Canal%20plaza%203.webp,2048×1152,16:9,webp,chưa kiểm tra,permission-review-required,8,Amenity section; Gallery
hong-hac-city-amenity-003,Hồng Hạc City,amenities,Điêu khắc trung tâm công viên (render),Khu điêu khắc trung tâm công viên Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/B%20-%20Central%20sculpture%203.webp,2048×1152,16:9,webp,chưa kiểm tra,permission-review-required,8,Amenity section; Gallery
hong-hac-city-amenity-004,Hồng Hạc City,amenities,Kiosk công viên (render),Kiosk tiện ích trong công viên Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/C%20-%20Kiosk%203.webp,2048×1152,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
hong-hac-city-amenity-005,Hồng Hạc City,amenities,Công viên (render),Công viên nội khu Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/Tien-ich-cong-vien.webp,1920×1080,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
hong-hac-city-amenity-006,Hồng Hạc City,amenities,Khu sinh hoạt cộng đồng (render),Khu sinh hoạt cộng đồng Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/tien-ich-common-area.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Amenity section
hong-hac-city-amenity-007,Hồng Hạc City,amenities,Khu vực nghỉ ngơi (render),Khu vực nghỉ ngơi trong công viên Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/tien-ich-reating-area.webp,1920×1080,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
hong-hac-city-amenity-008,Hồng Hạc City,amenities,Café bờ hồ (render),Café bờ hồ tại Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/Tien-ich-cong-vien-coffe-bo-ho.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Amenity section; Gallery
hong-hac-city-amenity-009,Hồng Hạc City,amenities,Outdoor gym (render),Phòng gym ngoài trời tại Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/Tien-ich-cong-vien-coffe-out-door-gym.webp,1920×1080,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
hong-hac-city-amenity-010,Hồng Hạc City,amenities,Sân chơi skateboard (render),Sân chơi skateboard tại Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/tien-ich-skateboard-playground.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Gallery
hong-hac-city-amenity-011,Hồng Hạc City,amenities,Kiosk tiện ích (render),Kiosk tiện ích Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/tien-ich-kiosk.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
hong-hac-city-amenity-012,Hồng Hạc City,amenities,Trường học quốc tế (render),Trường học quốc tế tại Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/Tien-ich-truong-hoc-01.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,9,Amenity section
hong-hac-city-amenity-013,Hồng Hạc City,amenities,Không gian thể thao trường học (render),Không gian thể thao trường học Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/Tien-ich-truong-hoc-02.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
hong-hac-city-amenity-014,Hồng Hạc City,amenities,Trường tiểu học (render),Trường tiểu học tại Hồng Hạc City,https://honghacphumyhung.vn/phankhuhongphat/,https://honghacphumyhung.vn/phankhuhongphat/tienich/Tien-ich-truong-hoc-03.webp,2560×1440,16:9,webp,chưa kiểm tra,permission-review-required,8,Gallery
